Client,Date,Title,Category,Hours,CategoryCap,DailyTotal,Flags,Reasons
ORX,2026-02-16,"Missing and failed patch update on the systems:-  WKORX-01, WKORX-03, WKORX-04, WKORX70, WKORX72",Routine: Patch management / Windows Update,2.25,1.5,3.58,H1,routine > 1.5h cap (Patch management / Windows Update)
ORX,2026-01-26,"Missing and failed patch update on the systems:-  WKORX45, WKORX21, WKORX-6, WKORX-09, WKORX48, WKORX42, WKORX43, WKORX64",Routine: Patch management / Windows Update,2.0,1.5,2.0,H1,routine > 1.5h cap (Patch management / Windows Update)
ORX,2026-04-12,"Missing and failed patch update on the systems:- WKORX44, WKORX-6, WKORX50, WKORX40, WKORX36, WKORX54",Routine: Patch management / Windows Update,1.98,1.5,3.03,H1,routine > 1.5h cap (Patch management / Windows Update)
BWH,2026-04-04,"Missing and failed patch update on the systems:-   BWH-HQ-LT-01, BWWS-CONF2, BWH-HQ-LT-13, BWH-HQ-LT-26, BWH-HQ-CONF-01",Routine: Patch management / Windows Update,1.93,1.5,1.93,H1,routine > 1.5h cap (Patch management / Windows Update)
ORX,2026-04-05,"Missing and failed patch update on the systems:- WKORX42, JRMED08, WKORX-04, WKORX-07",Routine: Patch management / Windows Update,1.9,1.5,4.52,H1,routine > 1.5h cap (Patch management / Windows Update)
