serialNumber,hostname,name,model,firmwareVersion,externalIpv4Address,externalIpv4Addresses,connected,suspended,managingStatus,reportingStatus,id,tenantId,stateChangedAt,createdAt,updatedAt,cluster,tenant,group,status,capabilities,createdBy,updatedBy,geoLocation
V01001HJW3R7D43,JRMED-HQ-FW-01,V01001HJW3R7D43,SFV1C4_VM01_SFOS 21.0.0 GA-Build169,SF01V_VM01_21.0.0.169,12.189.90.138,"[""12.189.90.138""]",True,False,approvedByCustomer,approvedByCustomer,f8a3a2a5-72d5-48ef-bf2a-4aaf22c5143f,de552407-3492-410e-bea6-b78a77df265a,2026-03-27T08:28:10.905Z,2025-01-17T15:57:34.672Z,2026-03-27T08:28:10.905Z,,"{""id"": ""de552407-3492-410e-bea6-b78a77df265a""}",,"{""managingStatus"": ""approvedByCustomer"", ""reportingStatus"": ""approvedByCustomer"", ""connected"": true, ""suspended"": false}","[""highAvailability"", ""configImport"", ""sdwanGroup"", ""sdwanMultiGroup""]","{""id"": null, ""type"": null, ""name"": null, ""accountType"": ""tenant"", ""accountId"": ""de552407-3492-410e-bea6-b78a77df265a""}","{""id"": null, ""type"": null, ""name"": null, ""accountType"": ""tenant"", ""accountId"": ""de552407-3492-410e-bea6-b78a77df265a""}","{""latitude"": ""33.68815"", ""longitude"": ""-117.8581""}"
V010017T24HJQA9,ORX-HQ-FW-01,V010017T24HJQA9,SFV2C4_VM01_SFOS 22.0.0 GA-Build411,SF01V_VM01_22.0.0.411,12.79.8.230,"[""12.79.8.230""]",True,False,approvedByCustomer,approvedByCustomer,8f9464a6-0633-42f2-b8e5-d883e0662cc7,de552407-3492-410e-bea6-b78a77df265a,2026-04-18T14:37:45.243Z,2024-08-13T20:46:20.614Z,2026-04-18T14:37:45.243Z,,"{""id"": ""de552407-3492-410e-bea6-b78a77df265a""}",,"{""managingStatus"": ""approvedByCustomer"", ""reportingStatus"": ""approvedByCustomer"", ""connected"": true, ""suspended"": false}","[""highAvailability"", ""configImport"", ""sdwanGroup"", ""sdwanMultiGroup""]","{""id"": null, ""type"": null, ""name"": null, ""accountType"": ""tenant"", ""accountId"": ""de552407-3492-410e-bea6-b78a77df265a""}","{""id"": null, ""type"": null, ""name"": null, ""accountType"": ""tenant"", ""accountId"": ""de552407-3492-410e-bea6-b78a77df265a""}","{""latitude"": ""33.99463"", ""longitude"": ""-117.34967""}"
