id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
13564459,DESKTOP-AI6612F,windows,Windows 11 Home,0.14.162,0.7.54,2026-04-29T15:59:33Z,2026-04-29T16:06:36Z,Unhealthy,Compliant,Enabled,192.168.1.12,76.33.14.151,,400DM74,516234,31342,amd64,2025-08-27T21:55:42Z,Other AV,"[""d8:b3:2f:98:8f:e9"", ""da:b3:2f:98:8f:e9"", ""de:b3:2f:98:8f:e9""]",0,0,26200,10,0,0,[],2026-04-29T16:06:52Z,917666,
13564251,Alex-DisruptiX,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:09:57Z,2026-04-29T11:15:36Z,Unhealthy,Compliant,Enabled,192.168.200.1,216.41.242.46,,8CG4463BT3,516234,31342,arm64,2025-08-27T21:25:52Z,Other AV,"[""00:15:5d:03:4b:20"", ""00:15:5d:12:12:00"", ""3c:0a:f3:72:f7:7b"", ""3c:0a:f3:72:f7:7c"", ""3e:0a:f3:72:f7:7b"", ""4e:0a:f3:72:f7:7b"", ""5e:0a:f3:72:f7:7b"", ""60:7d:09:ae:c9:71""]",0,0,26200,10,0,0,[],2026-04-29T15:18:27Z,917666,
13563798,Jen,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:12:49Z,2026-04-29T16:03:22Z,Unhealthy,Compliant,Enabled,192.168.15.254,98.153.116.158,,5CD33830FP,516234,31342,amd64,2025-08-27T20:49:06Z,Other AV,"[""f8:54:f6:78:92:ac"", ""fa:54:f6:78:92:ac""]",0,0,26200,10,0,0,[],2026-04-29T16:03:24Z,917666,
13563650,Miller-Computer,windows,Windows 11 Home,0.14.162,0.7.54,2026-04-28T23:00:57Z,2026-04-28T17:24:07Z,Unhealthy,Compliant,Enabled,192.168.15.188,98.153.116.158,,8FRF974,516234,31342,amd64,2025-08-27T20:37:37Z,Other AV,"[""00:72:ee:e4:21:81"", ""00:72:ee:e4:21:82"", ""00:72:ee:e4:21:85"", ""02:72:ee:e4:21:81""]",0,0,26200,10,0,0,[],2026-04-28T21:27:14Z,917666,
