id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
11839347,Spellbound,windows,Windows 11 Home,0.14.162,0.7.54,2026-04-29T16:08:26Z,2026-04-29T15:17:23Z,Unmanaged,Non Compliant,Enabled,192.168.68.54,98.209.155.151,,CXNRND3,450115,31342,amd64,2025-03-26T18:56:16Z,Other AV,"[""00:ff:84:9c:37:77"", ""10:f6:0a:81:33:4b"", ""10:f6:0a:81:33:4c"", ""10:f6:0a:81:33:4f""]",0,0,26200,10,0,0,[],2026-04-29T15:17:28Z,917666,
11801533,Carol,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:18Z,2026-04-29T11:53:56Z,Unhealthy,Compliant,Enabled,192.168.86.24,136.52.11.202,,PW04NC4Z,450115,31342,amd64,2025-03-22T20:31:04Z,Other AV,"[""a0:29:42:dc:86:f1"", ""a0:29:42:dc:86:f2"", ""a0:29:42:dc:86:f5"", ""a2:29:42:dc:86:f1""]",0,0,26200,10,0,0,[],2026-04-29T16:01:14Z,917666,
