id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
11359387,JDH-HQ-PC-08,windows,Windows 11 Pro,0.14.162,0.7.49,2026-04-21T22:23:47Z,2026-04-21T22:04:04Z,Unmanaged,Non Compliant,Enabled,10.0.0.126,12.231.12.100,,F008N34,429259,31342,amd64,2025-02-07T07:36:45Z,Other AV,"[""a8:3c:a5:2d:90:31""]",0,0,26200,10,0,0,[],2026-04-21T22:04:13Z,917666,
11359385,DESKTOP-8QP97UG,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:01:51Z,2026-04-29T10:25:20Z,Unmanaged,Compliant,Enabled,10.0.0.154,12.231.12.100,,To Be Filled By O.E.M.,429259,31342,amd64,2025-02-07T07:36:03Z,Other AV,"[""70:85:c2:a3:db:66""]",0,0,19045,10,0,0,[],2026-04-29T14:33:30Z,917666,
11359368,JDH-DC,windows,Windows Server 2008 R2 Standard,0.14.162,,2026-04-29T16:04:56Z,2026-04-29T05:27:12Z,Incompatible,Non Compliant,Disabled,10.0.0.141,12.231.12.100,JDH,,429259,31342,amd64,2025-02-07T07:29:41Z,Incompatible + Other AV,"[""00:0c:29:51:69:0a""]",1,0,7601,6,1,0,[],2026-04-29T16:04:56Z,917666,
11359364,JDH-HQ-PC-02,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:06:54Z,2026-04-29T15:47:28Z,Unmanaged,Non Compliant,Disabled,10.0.0.127,12.231.12.100,,801TF24,429259,31342,amd64,2025-02-07T07:28:36Z,Other AV,"[""58:6d:67:30:ff:39"", ""58:6d:67:30:ff:3a"", ""58:6d:67:30:ff:3d"", ""5a:6d:67:30:ff:39"", ""c4:5a:b1:fa:98:72""]",0,0,26200,10,0,0,[],2026-04-29T15:47:29Z,917666,
11359355,JDH-HQ-PC-04,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:05:22Z,2026-04-29T07:43:44Z,Unmanaged,Non Compliant,Enabled,10.0.0.133,12.231.12.100,,701TF24,429259,31342,amd64,2025-02-07T07:24:12Z,Other AV,"[""58:6d:67:30:fe:da"", ""58:6d:67:30:fe:db"", ""58:6d:67:30:fe:de"", ""5a:6d:67:30:fe:da"", ""c4:5a:b1:fa:a2:b8""]",0,0,26200,10,0,0,[],2026-04-29T15:43:48Z,917666,
11359352,JDH-HQ-PC-05,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:06:03Z,2026-04-29T14:54:55Z,Unmanaged,Non Compliant,Disabled,10.0.0.125,12.231.12.100,,601TF24,429259,31342,amd64,2025-02-07T07:22:53Z,Other AV,"[""58:6d:67:30:ff:3e"", ""58:6d:67:30:ff:3f"", ""58:6d:67:30:ff:42"", ""5a:6d:67:30:ff:3e"", ""c4:5a:b1:fa:af:ee""]",0,0,26200,10,0,0,[],2026-04-29T14:54:57Z,917666,
11359344,jdh-susan-dt,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:12:08Z,2026-04-29T10:02:08Z,Unmanaged,Non Compliant,Enabled,10.0.0.129,12.231.12.100,JDH,CC4Q9R3,429259,31342,amd64,2025-02-07T07:16:23Z,Other AV,"[""cc:96:e5:00:59:c4""]",0,0,26200,10,0,0,[],2026-04-29T14:14:17Z,917666,
11359341,JDH-HQ-AD-01,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:14:55Z,2026-04-29T13:01:23Z,Unhealthy,Compliant,Enabled,10.0.0.10,12.231.12.100,JDH,VMware-56 4d 1f 1f 38 e7 28 78-fc 0b ec 55 8a b6 cc cd,429259,31342,amd64,2025-02-07T07:15:35Z,Other AV,"[""00:0c:29:b6:cc:cd""]",0,0,20348,10,0,0,[],2026-04-29T15:00:32Z,917666,
11359340,JDH-HQ-PC-06,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:11Z,2026-04-29T15:01:37Z,Unmanaged,Non Compliant,Enabled,10.0.0.124,12.231.12.100,,J01TF24,429259,31342,amd64,2025-02-07T07:14:46Z,Other AV,"[""58:6d:67:30:4f:ad"", ""58:6d:67:30:4f:ae"", ""58:6d:67:30:4f:b1"", ""5a:6d:67:30:4f:ad"", ""c4:5a:b1:fa:ad:4d""]",0,0,26200,10,0,0,[],2026-04-29T15:01:38Z,917666,
11359302,JDH-REMOT-PC-01,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T15:56:50Z,2026-04-29T14:34:05Z,Unmanaged,Non Compliant,Enabled,192.168.1.178,104.52.201.77,,6B9PQ54,429259,31342,amd64,2025-02-07T06:59:28Z,Other AV,"[""00:ff:c2:1f:21:3b"", ""5c:b2:6d:6a:84:f2"", ""5c:b2:6d:6a:84:f3"", ""5c:b2:6d:6a:84:f6"", ""5e:b2:6d:6a:84:f2"", ""c0:47:0e:05:13:5d""]",0,0,26200,10,0,0,[],2026-04-29T14:35:20Z,917666,
11359301,DESKTOP-KND184L,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:01:19Z,2026-04-29T15:41:41Z,Unmanaged,Compliant,Enabled,10.0.0.122,12.231.12.100,,25WMMR2,429259,31342,amd64,2025-02-07T06:57:38Z,Other AV,"[""1a:9c:67:b3:c4:03"", ""2a:9c:67:b3:c4:03"", ""8c:ec:4b:9e:b9:24"", ""d8:9c:67:b3:c4:03"", ""d8:9c:67:b3:c4:04""]",0,0,19045,10,0,0,[],2026-04-29T15:41:42Z,917666,
11359293,JDH-HQ-LPT-01,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T01:19:02Z,2026-04-29T08:17:27Z,Unmanaged,Non Compliant,Enabled,192.168.1.13,74.192.227.198,,2BBQK24,429259,31342,amd64,2025-02-07T06:53:56Z,Other AV,"[""4c:d7:17:bf:8b:e2"", ""4c:d7:17:c9:7e:69"", ""e4:c7:67:02:e6:e9"", ""e4:c7:67:02:e6:ea"", ""e4:c7:67:02:e6:ed"", ""e6:c7:67:02:e6:e9""]",0,0,26200,10,0,0,[],2026-04-29T08:17:28Z,917666,
11359276,JDH-HQ-VBR-01,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:10:47Z,2026-04-29T12:03:13Z,Unhealthy,Compliant,Disabled,10.0.0.21,12.231.12.100,,VMware-56 4d f8 96 af d9 35 20-bb 5c bb 2e c8 b1 bf 00,429259,31342,amd64,2025-02-07T06:43:42Z,Other AV,"[""00:0c:29:b1:bf:00""]",0,0,20348,10,0,0,[],2026-04-29T14:11:51Z,917666,
11359264,JDH-HQ-PC-01,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T13:18:19Z,2026-04-29T10:31:29Z,Unmanaged,Non Compliant,Disabled,10.0.0.130,12.231.12.100,,511TF24,429259,31342,amd64,2025-02-07T06:36:43Z,Other AV,"[""20:88:10:a8:b3:5c"", ""58:6d:67:30:fd:68"", ""58:6d:67:30:fd:69"", ""58:6d:67:30:fd:6c"", ""5a:6d:67:30:fd:68""]",0,0,26200,10,0,0,[],2026-04-29T12:45:24Z,917666,
11359263,machinecenter,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:05:23Z,2026-04-29T02:58:42Z,Unmanaged,Compliant,Disabled,10.0.0.158,12.231.12.100,,HH9GXD2,429259,31342,amd64,2025-02-07T06:36:37Z,Other AV,"[""48:4d:7e:e4:fc:f8""]",0,0,26200,10,0,0,[],2026-04-29T16:05:23Z,917666,
11359261,JDH-HQ-VONE,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:09:55Z,2026-04-29T13:02:33Z,Unhealthy,Compliant,Disabled,10.0.0.155,12.231.12.100,,VMware-56 4d 8d a9 d9 38 57 23-78 82 7c 80 ca 06 38 c9,429259,31342,amd64,2025-02-07T06:35:30Z,Other AV,"[""00:0c:29:06:38:c9""]",0,0,20348,10,0,0,[],2026-04-29T14:58:05Z,917666,
11359256,SupplySalesconf,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T15:57:25Z,2026-04-29T09:25:33Z,Unmanaged,Non Compliant,Disabled,10.0.0.153,12.231.12.100,,System,429259,31342,amd64,2025-02-07T06:33:09Z,Other AV,"[""1e:71:d9:88:9a:fc"", ""2e:71:d9:88:9a:fc"", ""60:a4:4c:b0:d8:f1"", ""6c:71:d9:88:9a:fc""]",0,0,19045,10,0,0,[],2026-04-29T15:25:29Z,917666,
