InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
41702,11524,2024-12-22,2024-11-22,75.9000,75.9000,WeeklyOut,Paid,2024-12-27,Out Of Contract
40672,10591,2024-08-18,2024-07-19,116.4400,116.4400,WeeklyOut,Paid,2024-07-29,Out Of Contract
40405,10332,2024-07-21,2024-06-21,152.1500,152.1500,WeeklyOut,Paid,2024-07-15,Out Of Contract
40348,10271,2024-07-14,2024-06-14,527.8500,527.8500,WeeklyOut,Paid,2024-07-15,Out Of Contract
40300,10224,2024-07-07,2024-06-07,1124.5300,1124.5300,WeeklyOut,Paid,2024-06-18,Out Of Contract
