name,officeName,userCount,usedSpaceBytes,usedSpaceHuman,objectStorageUsedSpaceBytes,jobBackupTypes,repositoryCount
JDH,JDHPac.onmicrosoft.com,218,2189901529088,1.99 TB,0,EntireOrganization,1
BWH,brandywinehomes.onmicrosoft.com,115,5232783327232,4.76 TB,0,EntireOrganization,1
ALG,NETORG672839.onmicrosoft.com,35,2822074826752,2.57 TB,0,EntireOrganization,1
ORX,ORX365.onmicrosoft.com,467,4474414465024,4.07 TB,0,EntireOrganization,2
AFFG,NETORGFT9014011.onmicrosoft.com,34,989194682368,921.26 GB,0,EntireOrganization,1
Technijian,Technijian365.onmicrosoft.com,297,6610441175040,6.01 TB,0,EntireOrganization,1
ACU,segco.onmicrosoft.com,23,67044704256,62.44 GB,0,EntireOrganization,1
CBI,cbinteriorsdba.onmicrosoft.com,21,376045535232,350.22 GB,0,EntireOrganization,1
